"""osoba2""","",854.72,854720,855.173,855173,0.453,453,"""osoba2"""
"""osoba2""","",895.51,895510,896.004,896004,0.494,494,"""osoba2"""
"""osoba2""","",900.607,900607,901.294,901294,0.687,687,"""osoba2"""
"""osoba2""","",941.572,941572,941.792,941792,0.22,220,"""osoba2"""
"""osoba2""","",953.225,953225,960.501,960501,7.276,7276,"""osoba2"""
"""osoba2""","",963.748,963748,966.748,966748,3.0,3000,"""osoba2"""
"""osoba2""","",968.323,968323,968.65,968650,0.327,327,"""osoba2"""
"""osoba2""","",969.684,969684,975.134,975134,5.45,5450,"""osoba2"""
"""osoba2""","",977.444,977444,979.531,979531,2.087,2087,"""osoba2"""
"""osoba2""","",987.046,987046,987.588,987588,0.542,542,"""osoba2"""
"""osoba2""","",994.431,994431,995.418,995418,0.987,987,"""osoba2"""
"""osoba2""","",1018.821,1018821,1031.153,1031153,12.332,12332,"""osoba2"""
"""osoba2""","",1032.3,1032300,1032.602,1032602,0.302,302,"""osoba2"""
"""osoba2""","",1053.013,1053013,1053.287,1053287,0.274,274,"""osoba2"""
"""osoba2""","",1064.882,1064882,1065.182,1065182,0.3,300,"""osoba2"""
"""osoba2""","",1091.377,1091377,1092.396,1092396,1.019,1019,"""osoba2"""
"""osoba2""","",1105.875,1105875,1111.379,1111379,5.504,5504,"""osoba2"" ""osoba2"""
"""osoba2""","",1113.703,1113703,1114.287,1114287,0.584,584,"""osoba2"""
"""osoba2""","",1150.989,1150989,1154.943,1154943,3.954,3954,"""osoba2"""
"""osoba2""","",1159.273,1159273,1160.187,1160187,0.914,914,"""osoba2"""
"""osoba2""","",1166.109,1166109,1167.481,1167481,1.372,1372,"""osoba2"""
"""osoba2""","",1171.998,1171998,1172.861,1172861,0.863,863,"""osoba2"""
"""osoba2""","",1241.925,1241925,1242.584,1242584,0.659,659,"""osoba2"""
"""osoba2""","",1272.757,1272757,1272.935,1272935,0.178,178,"""osoba2"""
"""osoba2""","",1307.88,1307880,1308.194,1308194,0.314,314,"""osoba2"""
"""osoba2""","",1327.088,1327088,1330.449,1330449,3.361,3361,"""osoba2"""
"""osoba2""","",1331.485,1331485,1332.247,1332247,0.762,762,"""osoba2"""
"""osoba2""","",1333.833,1333833,1337.758,1337758,3.925,3925,"""osoba2"""
"""osoba2""","",1341.138,1341138,1341.498,1341498,0.36,360,"""osoba2"""
"""osoba2""","",1344.56,1344560,1357.163,1357163,12.603,12603,"""osoba2"" ""osoba2"""
"""osoba2""","",1359.097,1359097,1364.099,1364099,5.002,5002,"""osoba2"""
"""osoba2""","",1398.858,1398858,1401.444,1401444,2.586,2586,"""osoba2"""
"""osoba2""","",1403.782,1403782,1406.941,1406941,3.159,3159,"""osoba2"" ""osoba2"""
"""osoba2""","",1408.909,1408909,1414.487,1414487,5.578,5578,"""osoba2"" ""osoba2"""
"""osoba2""","",1418.085,1418085,1419.666,1419666,1.581,1581,"""osoba2"""
"""osoba2""","",1422.92,1422920,1423.12,1423120,0.2,200,"osoba2"
"""osoba2""","",1428.473,1428473,1429.389,1429389,0.916,916,"""osoba2"""
"""osoba2""","",1431.857,1431857,1432.603,1432603,0.746,746,"""osoba2"""
"""osoba2""","",1435.533,1435533,1439.718,1439718,4.185,4185,"""osoba2"""
"""osoba2""","",1445.77,1445770,1450.953,1450953,5.183,5183,"""osoba2"""
"""osoba2""","",1453.017,1453017,1455.314,1455314,2.297,2297,"""osoba2"""
"""osoba2""","",1468.713,1468713,1469.508,1469508,0.795,795,"""osoba2"""
"""osoba2""","",1473.831,1473831,1474.294,1474294,0.463,463,"""osoba2"""
"""osoba2""","",1478.197,1478197,1478.301,1478301,0.104,104,"""osoba2"""
"""osoba2""","",1493.449,1493449,1498.22,1498220,4.771,4771,"""osoba2"""
"""osoba2""","",1501.955,1501955,1503.272,1503272,1.317,1317,"""osoba2"""
"""osoba2""","",1509.486,1509486,1513.463,1513463,3.977,3977,"""osoba2"""
"""osoba2""","",1524.671,1524671,1524.839,1524839,0.168,168,"""osoba2"""
"""osoba2""","",1539.95,1539950,1540.159,1540159,0.209,209,"""osoba2"""
"""osoba2""","",1541.31,1541310,1541.88,1541880,0.57,570,"""osoba2"""
"""osoba2""","",1563.501,1563501,1564.561,1564561,1.06,1060,"""osoba2"""
"""osoba2""","",1569.117,1569117,1572.932,1572932,3.815,3815,"""osoba2"""
"""osoba2""","",1579.027,1579027,1580.073,1580073,1.046,1046,"""osoba2"""
"""osoba2""","",1586.586,1586586,1588.051,1588051,1.465,1465,"""osoba2"""
"""osoba2""","",1593.041,1593041,1594.156,1594156,1.115,1115,"""osoba2"""
"""osoba2""","",1596.967,1596967,1597.179,1597179,0.212,212,"""osoba2"""
"""osoba2""","",1598.429,1598429,1598.889,1598889,0.46,460,"""osoba2"""
"""osoba2""","",1603.93,1603930,1605.177,1605177,1.247,1247,"""osoba2"""
"""osoba2""","",1619.623,1619623,1620.051,1620051,0.428,428,"""osoba2"""
"""osoba2""","",1667.223,1667223,1684.332,1684332,17.109,17109,"""osoba2"" ""osoba2"""
"""osoba2""","",1696.149,1696149,1698.941,1698941,2.792,2792,"""osoba2"""
"""osoba2""","",1705.723,1705723,1711.857,1711857,6.134,6134,"""osoba2"""
"""osoba2""","",1719.387,1719387,1722.374,1722374,2.987,2987,"""osoba2"""
"""osoba2""","",1751.387,1751387,1755.541,1755541,4.154,4154,"""osoba2"""
"""osoba2""","",1759.631,1759631,1760.527,1760527,0.896,896,"""osoba2"""
"""osoba2""","",1831.478,1831478,1832.053,1832053,0.575,575,"""osoba2"""
"""osoba2""","",1833.396,1833396,1833.722,1833722,0.326,326,"""osoba2"""
"""osoba2""","",1869.213,1869213,1872.815,1872815,3.602,3602,"""osoba2"""
"""osoba2""","",1874.119,1874119,1878.247,1878247,4.128,4128,"""osoba2"""
"""osoba2""","",1896.253,1896253,1896.932,1896932,0.679,679,"""osoba2"""
"""osoba2""","",1906.194,1906194,1907.177,1907177,0.983,983,"""osoba2"""
"""osoba2""","",1909.859,1909859,1910.195,1910195,0.336,336,"""osoba2"""
"""osoba2""","",1919.613,1919613,1920.217,1920217,0.604,604,"""osoba2"""
"""osoba2""","",1921.731,1921731,1923.056,1923056,1.325,1325,"""osoba2"""
"""osoba2""","",1932.074,1932074,1933.284,1933284,1.21,1210,"""osoba2"""
"""osoba3""","",108.112,108112,108.258,108258,0.146,146,"""osoba3"""
"""osoba3""","",111.112,111112,111.274,111274,0.162,162,"""osoba3"""
"""osoba3""","",116.233,116233,127.781,127781,11.548,11548,"""osoba3"" ""osoba3"""
"""osoba3""","",137.074,137074,137.683,137683,0.609,609,"""osoba3"""
"""osoba3""","",143.003,143003,144.761,144761,1.758,1758,"""osoba3"""
"""osoba3""","",146.63,146630,146.732,146732,0.102,102,"""osoba3"""
"""osoba3""","",148.91,148910,150.235,150235,1.325,1325,"""osoba3"""
"""osoba3""","",162.679,162679,162.911,162911,0.232,232,"""osoba3"""
"""osoba3""","",165.438,165438,173.421,173421,7.983,7983,"""osoba3"" ""osoba3"""
"""osoba3""","",179.341,179341,179.727,179727,0.386,386,"""osoba3"""
"""osoba3""","",187.155,187155,189.054,189054,1.899,1899,"""osoba3"""
"""osoba3""","",190.229,190229,191.97,191970,1.741,1741,"""osoba3"""
"""osoba3""","",192.89,192890,193.399,193399,0.509,509,"""osoba3"""
"""osoba3""","",194.732,194732,195.325,195325,0.593,593,"""osoba3"""
"""osoba3""","",222.64,222640,222.83,222830,0.19,190,"osoba3"
"""osoba3""","",225.071,225071,230.497,230497,5.426,5426,"""osoba3"""
"""osoba3""","",231.56,231560,233.808,233808,2.248,2248,"""osoba3"""
"""osoba3""","",239.364,239364,255.442,255442,16.078,16078,"""osoba3"""
"""osoba3""","",257.841,257841,259.501,259501,1.66,1660,"""osoba3"""
"""osoba3""","",261.312,261312,269.243,269243,7.931,7931,"""osoba3"""
"""osoba3""","",275.889,275889,277.413,277413,1.524,1524,"""osoba3"""
"""osoba3""","",279.575,279575,285.052,285052,5.477,5477,"""osoba3"""
"""osoba3""","",286.645,286645,290.069,290069,3.424,3424,"""osoba3"""
"""osoba3""","",298.371,298371,301.076,301076,2.705,2705,"""osoba3"""
"""osoba3""","",302.259,302259,305.356,305356,3.097,3097,"""osoba3"""
"""osoba3""","",319.376,319376,319.757,319757,0.381,381,"""osoba3"""
"""osoba3""","",321.846,321846,322.602,322602,0.756,756,"""osoba3"""
"""osoba3""","",339.29,339290,343.185,343185,3.895,3895,"""osoba3"""
"""osoba3""","",345.14,345140,355.13,355130,9.99,9990,"""osoba3"""
"""osoba3""","",366.793,366793,368.387,368387,1.594,1594,"""osoba3"""
"""osoba3""","",375.298,375298,375.975,375975,0.677,677,"""osoba3"""
"""osoba3""","",380.265,380265,396.854,396854,16.589,16589,"""osoba3"""
"""osoba3""","",404.388,404388,404.632,404632,0.244,244,"""osoba3"""
"""osoba3""","",406.995,406995,407.577,407577,0.582,582,"""osoba3"""
"""osoba3""","",413.349,413349,418.429,418429,5.08,5080,"""osoba3"""
"""osoba3""","",424.354,424354,424.868,424868,0.514,514,"""osoba3"""
"""osoba3""","",425.968,425968,433.223,433223,7.255,7255,"""osoba3"""
"""osoba3""","",447.661,447661,449.19,449190,1.529,1529,"""osoba3"""
"""osoba3""","",450.345,450345,453.162,453162,2.817,2817,"""osoba3"""
"""osoba3""","",454.918,454918,458.457,458457,3.539,3539,"""osoba3"""
"""osoba3""","",460.34,460340,461.655,461655,1.315,1315,"""osoba3"""
"""osoba3""","",462.69,462690,463.0,463000,0.31,310,"""osoba3"""
"""osoba3""","",465.541,465541,466.265,466265,0.724,724,"""osoba3"""
"""osoba3""","",470.459,470459,471.564,471564,1.105,1105,"""osoba3"""
"""osoba3""","",475.414,475414,483.06,483060,7.646,7646,"""osoba3"""
"""osoba3""","",488.58,488580,505.7,505700,17.12,17120,"""osoba3"""
"""osoba3""","",511.136,511136,511.403,511403,0.267,267,"""osoba3"""
"""osoba3""","",516.975,516975,517.652,517652,0.677,677,"""osoba3"""
"""osoba3""","",518.903,518903,519.191,519191,0.288,288,"""osoba3"""
"""osoba3""","",526.926,526926,530.493,530493,3.567,3567,"""osoba3"""
"""osoba3""","",537.903,537903,539.477,539477,1.574,1574,"""osoba3"""
"""osoba3""","",542.701,542701,544.195,544195,1.494,1494,"""osoba3"""
"""osoba3""","",545.393,545393,557.303,557303,11.91,11910,"""osoba3"" ""osoba3"""
"""osoba3""","",558.606,558606,558.938,558938,0.332,332,"""osoba3"""
"""osoba3""","",560.245,560245,561.255,561255,1.01,1010,"""osoba3"""
