"osoba2","",447.543,447.733,0.19,"osoba2"
"osoba2","",453.233,457.624,4.391,"osoba2"
"osoba2","",459.817,463.565,3.748,"osoba2"
"osoba2","",464.813,471.92,7.107,"osoba2"
"osoba2","",472.952,474.227,1.275,"osoba2"
"osoba2","",481.768,484.257,2.489,"osoba2"
"osoba2","",493.812,496.13,2.318,"osoba2"
"osoba2","",498.423,498.674,0.251,"osoba2"
"osoba2","",500.409,500.515,0.106,"osoba2"
"osoba2","",507.266,511.96,4.694,"osoba2"
"osoba2","",515.287,523.833,8.546,"osoba2"
"osoba2","",525.404,541.023,15.619,"osoba2"
"osoba2","",542.255,545.399,3.144,"osoba2"
"osoba2","",547.706,549.531,1.825,"osoba2"
"osoba2","",551.255,551.577,0.322,"osoba2"
"osoba2","",553.237,554.712,1.475,"osoba2"
"osoba2","",557.136,561.733,4.597,"osoba2"
"osoba2","",564.064,573.503,9.439,"osoba2"
"osoba2","",576.557,578.955,2.398,"osoba2"
"osoba2","",580.414,585.043,4.629,"osoba2"
"osoba2","",587.176,588.872,1.696,"osoba2"
"osoba2","",589.898,590.799,0.901,"osoba2"
"osoba2","",592.617,601.448,8.831,"osoba2"
"osoba2","",603.731,606.36,2.629,"osoba2"
"osoba2","",608.992,612.574,3.582,"osoba2"
"osoba2","",615.259,616.318,1.059,"osoba2"
"osoba2","",621.065,628.282,7.217,"osoba2"
"osoba2","",630.362,631.783,1.421,"osoba2"
"osoba2","",633.839,644.404,10.565,"osoba2"
"osoba2","",645.576,651.932,6.356,"osoba2"
"osoba2","",653.17,653.593,0.423,"osoba2"
"osoba2","",655.471,660.662,5.191,"osoba2"
"osoba2","",662.301,663.751,1.45,"osoba2"
"osoba2","",668.089,673.229,5.14,"osoba2"
"osoba2","",675.085,678.961,3.876,"osoba2"
"osoba2","",684.386,687.046,2.66,"osoba2"
"osoba2","",688.916,690.942,2.026,"osoba2"
"osoba2","",692.105,697.306,5.201,"osoba2"
"osoba2","",698.516,703.526,5.01,"osoba2"
"osoba2","",706.702,707.354,0.652,"osoba2"
"osoba2","",710.089,722.199,12.11,"osoba2"
"osoba2","",723.987,730.476,6.489,"osoba2"
"osoba2","",732.216,733.882,1.666,"osoba2"
"osoba2","",738.275,739.41,1.135,"osoba2"
"osoba2","",742.311,746.857,4.546,"osoba2"
"osoba2","",748.389,750.335,1.946,"osoba2"
"osoba2","",751.47,753.353,1.883,"osoba2"
"osoba2","",754.632,755.559,0.927,"osoba2"
"osoba2","",762.9,766.712,3.812,"osoba2"
"osoba2","",767.734,782.808,15.074,"osoba2"
"osoba2","",784.87,792.872,8.002,"osoba2"
"osoba2","",794.646,794.812,0.166,"osoba2"
"osoba2","",796.981,801.253,4.272,"osoba2"
"osoba2","",802.599,806.519,3.92,"osoba2"
"osoba2","",808.293,810.297,2.004,"osoba2"
"osoba2","",812.092,813.843,1.751,"osoba2"
"osoba2","",815.025,818.273,3.248,"osoba2"
"osoba2","",820.885,826.23,5.345,"osoba2"
"osoba2","",828.465,836.375,7.91,"osoba2"
"osoba2","",842.278,842.531,0.253,"osoba2"
"osoba2","",844.02,844.271,0.251,"osoba2"
"osoba2","",846.868,847.687,0.819,"osoba2"
"osoba2","",849.264,851.872,2.608,"osoba2"
"osoba2","",853.16,855.596,2.436,"osoba2"
"osoba2","",858.285,859.025,0.74,"osoba2"
"osoba2","",860.841,864.27,3.429,"osoba2"
"osoba2","",866.367,874.624,8.257,"osoba2"
"osoba2","",877.054,878.563,1.509,"osoba2"
"osoba2","",880.342,880.526,0.184,"osoba2"
"osoba2","",888.807,891.692,2.885,"osoba2"
"osoba2","",894.238,894.587,0.349,"osoba2"
"osoba2","",901.795,903.727,1.932,"osoba2"
"osoba2","",910.681,911.577,0.896,"osoba2"
"osoba2","",916.253,918.712,2.459,"osoba2"
"osoba2","",931.111,931.26,0.149,"osoba2"
"osoba2","",932.941,934.262,1.321,"osoba2"
"osoba2","",937.867,938.245,0.378,"osoba2"
"osoba2","",940.683,943.632,2.949,"osoba2"
"osoba2","",946.058,952.578,6.52,"osoba2"
"osoba2","",953.904,961.87,7.966,"osoba2"
"osoba2","",964.255,967.66,3.405,"osoba2"
"osoba2","",968.927,977.654,8.727,"osoba2"
"osoba2","",978.812,982.252,3.44,"osoba2"
"osoba2","",983.605,985.885,2.28,"osoba2"
"osoba2","",992.234,998.989,6.755,"osoba2"
"osoba2","",1003.144,1003.497,0.353,"osoba2"
"osoba2","",1004.802,1005.354,0.552,"osoba2"
"osoba2","",1021.744,1023.661,1.917,"osoba2"
"osoba2","",1031.315,1035.139,3.824,"osoba2"
"osoba2","",1056.443,1056.77,0.327,"osoba2"
"osoba2","",1059.06,1061.386,2.326,"osoba2"
"osoba2","",1079.531,1079.901,0.37,"osoba2"
"osoba2","",1086.974,1089.58,2.606,"osoba2"
"osoba2","",1091.964,1092.894,0.93,"osoba2"
"osoba2","",1097.451,1101.565,4.114,"osoba2"
"osoba2","",1102.985,1103.702,0.717,"osoba2"
"osoba2","",1105.12,1107.217,2.097,"osoba2"
"osoba2","",1112.06,1112.556,0.496,"osoba2"
"osoba2","",1113.711,1116.898,3.187,"osoba2"
"osoba2","",1119.705,1126.491,6.786,"osoba2"
"osoba2","",1128.17,1135.31,7.14,"osoba2"
"osoba2","",1137.869,1138.694,0.825,"osoba2"
"osoba2","",1143.068,1143.925,0.857,"osoba2"
"osoba2","",1147.741,1148.131,0.39,"osoba2"
"osoba2","",1149.239,1154.468,5.229,"osoba2"
"osoba2","",1155.843,1157.868,2.025,"osoba2"
"osoba2","",1165.03,1167.581,2.551,"osoba2"
"osoba2","",1170.244,1173.166,2.922,"osoba2"
"osoba2","",1174.25,1182.426,8.176,"osoba2"
"osoba2","",1183.916,1187.102,3.186,"osoba2"
"osoba2","",1188.266,1188.675,0.409,"osoba2"
"osoba2","",1189.945,1191.949,2.004,"osoba2"
"osoba2","",1193.694,1196.244,2.55,"osoba2"
"osoba2","",1200.731,1200.864,0.133,"osoba2"
"osoba2","",1202.123,1203.432,1.309,"osoba2"
"osoba2","",1204.86,1211.028,6.168,"osoba2"
"osoba2","",1214.193,1218.059,3.866,"osoba2"
"osoba2","",1219.348,1223.811,4.463,"osoba2"
"osoba2","",1225.496,1227.069,1.573,"osoba2"
"osoba2","",1229.958,1231.203,1.245,"osoba2"
"osoba2","",1235.994,1238.043,2.049,"osoba2"
"osoba2","",1243.068,1243.469,0.401,"osoba2"
"osoba2","",1249.813,1251.066,1.253,"osoba2"
"osoba2","",1254.947,1255.181,0.234,"osoba2"
"osoba2","",1261.157,1262.275,1.118,"osoba2"
"osoba2","",1263.822,1265.307,1.485,"osoba2"
"osoba2","",1272.901,1275.53,2.629,"osoba2"
"osoba2","",1276.993,1281.713,4.72,"osoba2"
"osoba2","",1282.825,1285.294,2.469,"osoba2"
"osoba2","",1286.622,1288.178,1.556,"osoba2"
"osoba2","",1295.958,1296.604,0.646,"osoba2"
"osoba2","",1298.453,1302.872,4.419,"osoba2"
"osoba2","",1305.138,1306.43,1.292,"osoba2"
"osoba2","",1310.125,1310.32,0.195,"osoba2"
"osoba2","",1316.939,1322.442,5.503,"osoba2"
"osoba2","",1323.877,1324.906,1.029,"osoba2"
"osoba2","",1327.106,1329.807,2.701,"osoba2"
"osoba2","",1333.434,1335.647,2.213,"osoba2"
"osoba2","",1337.576,1341.406,3.83,"osoba2"
"osoba2","",1343.527,1344.748,1.221,"osoba2"
"osoba2","",1345.825,1347.152,1.327,"osoba2"
"osoba2","",1351.272,1351.409,0.137,"osoba2"
"osoba2","",1352.891,1354.327,1.436,"osoba2"
"osoba2","",1361.939,1362.883,0.944,"osoba2"
"osoba2","",1364.71,1368.838,4.128,"osoba2"
"osoba2","",1370.823,1371.854,1.031,"osoba2"
"osoba2","",1373.514,1376.194,2.68,"osoba2"
"osoba2","",1383.58,1384.676,1.096,"osoba2"
"osoba2","",1387.038,1387.336,0.298,"osoba2"
"osoba2","",1405.256,1406.179,0.923,"osoba2"
"osoba2","",1409.897,1410.97,1.073,"osoba2"
"osoba2","",1416.227,1421.913,5.686,"osoba2"
"osoba2","",1430.02,1438.356,8.336,"osoba2"
"osoba2","",1441.462,1441.911,0.449,"osoba2"
"osoba2","",1444.984,1451.046,6.062,"osoba2"
"osoba2","",1457.101,1462.579,5.478,"osoba2"
"osoba2","",1464.326,1472.491,8.165,"osoba2"
"osoba2","",1475.232,1477.751,2.519,"osoba2"
"osoba2","",1489.942,1493.279,3.337,"osoba2"
"osoba2","",1495.345,1495.692,0.347,"osoba2"
"osoba2","",1501.109,1502.587,1.478,"osoba2"
"osoba2","",1505.991,1519.588,13.597,"osoba2"
"osoba2","",1521.882,1526.558,4.676,"osoba2"
"osoba2","",1529.18,1530.49,1.31,"osoba2"
"osoba2","",1534.014,1535.008,0.994,"osoba2"
"osoba2","",1537.79,1539.43,1.64,"osoba2"
"osoba2","",1540.477,1543.191,2.714,"osoba2"
"osoba2","",1546.315,1548.61,2.295,"osoba2"
"osoba2","",1550.347,1551.87,1.523,"osoba2"
"osoba2","",1555.42,1557.026,1.606,"osoba2"
"osoba2","",1558.47,1559.455,0.985,"osoba2"
"osoba2","",1564.497,1567.179,2.682,"osoba2"
"osoba2","",1570.604,1571.199,0.595,"osoba2"
"osoba2","",1576.575,1579.292,2.717,"osoba2"
"osoba2","",1588.104,1588.383,0.279,"osoba2"
"osoba2","",1589.679,1591.565,1.886,"osoba2"
"osoba2","",1593.029,1593.295,0.266,"osoba2"
"osoba2","",1597.237,1598.974,1.737,"osoba2"
