Tier,Begin time [ss.ms],End time [ss.ms],Duration [ss.ms],content
osoba1,35.434,40.863,5.429,osoba1
osoba1,43.416,48.929,5.513,osoba1
osoba1,50.171,56.161,5.99,osoba1
osoba1,57.398,61.28,3.882,osoba1
osoba1,62.398,74.391,11.993,osoba1
osoba1,76.641,83.173,6.532,osoba1
osoba1,88.323,92.073,3.75,osoba1
osoba1,168.361,168.48,0.119,osoba1
osoba1,201.902,203.268,1.366,osoba1
osoba1,241.763,243.01,1.247,osoba1
osoba1,378.852,380.435,1.583,osoba1
osoba1,382.696,382.963,0.267,osoba1
osoba1,386.312,396.429,10.117,osoba1
osoba1,397.781,401.427,3.646,osoba1
osoba1,416.019,425.28,9.261,osoba1
osoba1,427.598,430.129,2.531,osoba1
osoba1,435.342,436.064,0.722,osoba1
osoba1,437.192,440.707,3.515,osoba1
osoba1,442.158,452.974,10.816,osoba1
osoba1,454.149,459.92,5.771,osoba1
osoba1,461.096,461.468,0.372,osoba1
osoba1,462.647,463.321,0.674,osoba1
osoba1,471.638,474.478,2.84,osoba1
osoba1,477.223,488.285,11.062,osoba1
osoba1,588.427,595.433,7.006,osoba1
osoba1,596.894,598.165,1.271,osoba1
osoba1,608.434,610.484,2.05,osoba1
osoba1,617.064,619.313,2.249,osoba1
osoba1,623.334,624.767,1.433,osoba1
osoba1,625.919,627.943,2.024,osoba1
osoba1,629.529,651.959,22.43,osoba1
osoba1,653.552,666.942,13.39,osoba1
osoba1,682.115,694.925,12.81,osoba1
osoba1,696.234,698.998,2.764,osoba1
osoba1,701.367,702.831,1.464,osoba1
osoba1,703.974,706.702,2.728,osoba1
osoba1,709.62,713.559,3.939,osoba1
osoba1,721.726,723.014,1.288,osoba1
osoba1,726.324,726.469,0.145,osoba1
osoba1,727.812,729.379,1.567,osoba1
osoba1,731.595,732.357,0.762,osoba1
osoba1,736.03,745.744,9.714,osoba1
osoba1,750.316,753.545,3.229,osoba1
osoba1,797.488,802.999,5.511,osoba1
osoba1,804.461,808.366,3.905,osoba1
osoba1,809.795,821.302,11.507,osoba1
osoba1,823.443,830.394,6.951,osoba1
osoba1,832.354,835.765,3.411,osoba1
osoba1,837.176,841.121,3.945,osoba1
osoba1,845.169,845.552,0.383,osoba1
osoba1,856.029,856.732,0.703,osoba1
osoba1,863.247,863.452,0.205,osoba1
osoba1,896.014,912.024,16.01,osoba1
osoba1,914.063,936.804,22.741,osoba1
osoba1,939.201,959.492,20.291,osoba1
osoba1,960.52,960.733,0.213,osoba1
osoba1,993.539,993.759,0.22,osoba1
osoba2,41.975,42.71,0.735,osoba2
osoba2,50.014,50.116,0.102,osoba2
osoba2,84.851,89.148,4.297,osoba2
osoba2,91.709,120.169,28.46,osoba2
osoba2,121.376,128.099,6.723,osoba2
osoba2,129.302,150.838,21.536,osoba2
osoba2,160.901,161.829,0.928,osoba2
osoba2,164.521,164.971,0.45,osoba2
osoba2,201.764,203.106,1.342,osoba2
osoba2,225.602,234.977,9.375,osoba2
osoba2,236.519,237.45,0.931,osoba2
osoba2,402.311,414.333,12.022,osoba2
osoba2,421.503,421.752,0.249,osoba2
osoba2,426.006,427.564,1.558,osoba2
osoba2,431.538,436.787,5.249,osoba2
osoba2,441.265,441.71,0.445,osoba2
osoba2,448.364,448.482,0.118,osoba2
osoba2,461.012,462.673,1.661,osoba2
osoba2,464.321,468.953,4.632,osoba2
osoba2,477.173,477.894,0.721,osoba2
osoba2,486.505,486.628,0.123,osoba2
osoba2,489.038,519.381,30.343,osoba2
osoba2,531.172,531.476,0.304,osoba2
osoba2,545.371,545.726,0.355,osoba2
osoba2,552.073,553.554,1.481,osoba2
osoba2,570.322,570.591,0.269,osoba2
osoba2,580.313,580.58,0.267,osoba2
osoba2,583.875,591.222,7.347,osoba2
osoba2,594.39,596.813,2.423,osoba2
osoba2,608.436,608.537,0.101,osoba2
osoba2,610.495,611.672,1.177,osoba2
osoba2,615.706,615.987,0.281,osoba2
osoba2,620.568,623.353,2.785,osoba2
osoba2,628.728,629.125,0.397,osoba2
osoba2,631.737,632.967,1.23,osoba2
osoba2,638.056,638.508,0.452,osoba2
osoba2,649.149,649.88,0.731,osoba2
osoba2,651.421,651.63,0.209,osoba2
osoba2,653.132,653.508,0.376,osoba2
osoba2,658.166,658.345,0.179,osoba2
osoba2,662.365,662.757,0.392,osoba2
osoba2,665.802,666.273,0.471,osoba2
osoba2,667.52,680.327,12.807,osoba2
osoba2,685.944,686.092,0.148,osoba2
osoba2,690.869,691.237,0.368,osoba2
osoba2,693.358,694.72,1.362,osoba2
osoba2,705.05,708.151,3.101,osoba2
osoba2,726.46,731.81,5.35,osoba2
osoba2,745.919,746.989,1.07,osoba2
osoba2,749.586,750.134,0.548,osoba2
osoba2,754.598,755.16,0.562,osoba2
osoba2,823.222,824.014,0.792,osoba2
osoba2,842.691,843.407,0.716,osoba2
osoba2,854.704,855.287,0.583,osoba2
osoba2,859.799,860.07,0.271,osoba2
osoba2,871.229,871.548,0.319,osoba2
osoba2,872.673,872.848,0.175,osoba2
osoba2,905.409,907.344,1.935,osoba2
osoba2,914.615,916.109,1.494,osoba2
osoba2,919.701,920.317,0.616,osoba2
osoba2,932.489,932.691,0.202,osoba2
osoba2,938.035,940.388,2.353,osoba2
osoba2,943.103,943.228,0.125,osoba2
osoba2,947.593,947.94,0.347,osoba2
osoba2,952.754,954.678,1.924,osoba2
osoba2,960.894,981.275,20.381,osoba2
osoba2,982.761,990.363,7.602,osoba2
osoba3,41.235,41.367,0.132,osoba3
osoba3,154.552,244.132,89.58,osoba3
osoba3,248.246,248.477,0.231,osoba3
osoba3,257.266,257.448,0.182,osoba3
osoba3,269.922,271.363,1.441,osoba3
osoba3,276.191,280.369,4.178,osoba3
osoba3,284.92,285.606,0.686,osoba3
osoba3,292.809,292.962,0.153,osoba3
osoba3,302.14,309.353,7.213,osoba3
osoba3,316.336,316.533,0.197,osoba3
osoba3,320.58,320.887,0.307,osoba3
osoba3,323.389,323.695,0.306,osoba3
osoba3,358.713,358.898,0.185,osoba3
osoba3,464.351,464.946,0.595,osoba3
osoba3,469.235,472.329,3.094,osoba3
osoba3,475.119,477.514,2.395,osoba3
osoba3,484.141,484.393,0.252,osoba3
osoba3,488.85,489.451,0.601,osoba3
osoba3,521.004,571.935,50.931,osoba3
osoba3,573.135,585.309,12.174,osoba3
osoba3,588.865,589.3,0.435,osoba3
osoba3,600.284,609.069,8.785,osoba3
osoba3,610.116,610.916,0.8,osoba3
osoba3,638.182,638.404,0.222,osoba3
osoba3,665.714,665.835,0.121,osoba3
osoba3,699.802,700.087,0.285,osoba3
osoba3,707.987,710.04,2.053,osoba3
osoba3,734.969,736.527,1.558,osoba3
osoba3,746.333,750.794,4.461,osoba3
osoba3,754.37,757.016,2.646,osoba3
osoba3,769.355,770.513,1.158,osoba3
osoba3,771.615,773.963,2.348,osoba3
osoba3,784.189,784.414,0.225,osoba3
osoba3,812.555,812.673,0.118,osoba3
osoba3,844.824,897.587,52.763,osoba3
osoba3,912.732,914.489,1.757,osoba3
osoba3,930.794,931.303,0.509,osoba3
osoba3,960.388,960.718,0.33,osoba3
osoba3,962.99,963.376,0.386,osoba3
osoba3,968.547,968.671,0.124,osoba3
osoba4,40.031,40.331,0.3,osoba4
osoba4,243.322,277.674,34.352,osoba4
osoba4,281.18,303.633,22.453,osoba4
osoba4,308.877,367.185,58.308,osoba4
osoba4,368.589,372.726,4.137,osoba4
