Tier,Begin time [ss.ms],End time [ss.ms],Duration [ss.ms],content
osoba1,29.245,29.712,0.467,osoba1
osoba1,41.005,41.337,0.332,osoba1
osoba1,67.928,73.874,5.946,osoba1
osoba1,81.685,81.919,0.234,osoba1
osoba1,83.188,83.347,0.159,osoba1
osoba1,90.408,97.008,6.6,osoba1
osoba1,147.268,152.429,5.161,osoba1
osoba1,179.61,179.905,0.295,osoba1
osoba1,180.931,185.985,5.054,osoba1
osoba1,187.775,189.522,1.747,osoba1
osoba1,207.066,207.268,0.202,osoba1
osoba1,216.612,227.902,11.29,osoba1
osoba1,230.486,237.023,6.537,osoba1
osoba1,239.545,241.563,2.018,osoba1
osoba1,245.128,253.476,8.348,osoba1
osoba1,276.649,282.224,5.575,osoba1
osoba1,283.357,283.623,0.266,osoba1
osoba1,291.886,292.403,0.517,osoba1
osoba1,296.537,296.677,0.14,osoba1
osoba1,418.584,418.934,0.35,osoba1
osoba1,424.671,424.793,0.122,osoba1
osoba1,440.918,445.077,4.159,osoba1
osoba1,446.514,468.028,21.514,osoba1
osoba1,469.267,469.587,0.32,osoba1
osoba1,471.548,471.796,0.248,osoba1
osoba1,486.058,486.371,0.313,osoba1
osoba1,534.012,534.231,0.219,osoba1
osoba1,538.63,548.725,10.095,osoba1
osoba1,552.945,553.767,0.822,osoba1
osoba1,559.441,568.716,9.275,osoba1
osoba1,581.68,581.801,0.121,osoba1
osoba1,659.959,660.209,0.25,osoba1
osoba1,661.699,673.348,11.649,osoba1
osoba1,674.587,674.895,0.308,osoba1
osoba1,678.566,678.867,0.301,osoba1
osoba1,734.873,735.206,0.333,osoba1
osoba1,739.923,740.153,0.23,osoba1
osoba1,757.603,757.766,0.163,osoba1
osoba1,792.802,793.046,0.244,osoba1
osoba1,803.621,806.59,2.969,osoba1
osoba1,809.919,810.197,0.278,osoba1
osoba1,815.737,818.354,2.617,osoba1
osoba1,819.77,826.585,6.815,osoba1
osoba1,829.876,834.152,4.276,osoba1
osoba1,873.644,873.853,0.209,osoba1
osoba2,19.713,20.67,0.957,osoba2
osoba2,22.302,22.746,0.444,osoba2
osoba2,26.303,27.957,1.654,osoba2
osoba2,33.089,38.368,5.279,osoba2
osoba2,45.816,66.718,20.902,osoba2
osoba2,70.709,71.652,0.943,osoba2
osoba2,76.007,76.664,0.657,osoba2
osoba2,83.362,84.231,0.869,osoba2
osoba2,112.331,112.7,0.369,osoba2
osoba2,115.897,135.056,19.159,osoba2
osoba2,140.986,141.881,0.895,osoba2
osoba2,144.056,144.75,0.694,osoba2
osoba2,146.167,146.896,0.729,osoba2
osoba2,190.774,205.85,15.076,osoba2
osoba2,213.025,213.542,0.517,osoba2
osoba2,223.606,225.346,1.74,osoba2
osoba2,228.408,232.674,4.266,osoba2
osoba2,235.274,236.61,1.336,osoba2
osoba2,238.704,239.091,0.387,osoba2
osoba2,263.018,263.492,0.474,osoba2
osoba2,267.165,267.274,0.109,osoba2
osoba2,291.25,293.376,2.126,osoba2
osoba2,297.505,297.745,0.24,osoba2
osoba2,301.056,301.425,0.369,osoba2
osoba2,318.185,318.479,0.294,osoba2
osoba2,374.085,391.725,17.64,osoba2
osoba2,412.223,435.696,23.473,osoba2
osoba2,437.579,439.513,1.934,osoba2
osoba2,451.34,452.245,0.905,osoba2
osoba2,465.826,467.626,1.8,osoba2
osoba2,507.944,508.317,0.373,osoba2
osoba2,510.025,510.203,0.178,osoba2
osoba2,517.552,517.817,0.265,osoba2
osoba2,522.2,528.747,6.547,osoba2
osoba2,545.206,545.693,0.487,osoba2
osoba2,552.001,560.2,8.199,osoba2
osoba2,583.829,587.648,3.819,osoba2
osoba2,606.458,607.576,1.118,osoba2
osoba2,611.676,613.2,1.524,osoba2
osoba2,614.239,614.43,0.191,osoba2
osoba2,620.001,620.172,0.171,osoba2
osoba2,683.611,704.11,20.499,osoba2
osoba2,705.276,707.243,1.967,osoba2
osoba2,708.354,732.736,24.382,osoba2
osoba2,735.11,746.797,11.687,osoba2
osoba2,750.276,751.553,1.277,osoba2
osoba2,761.353,775.646,14.293,osoba2
osoba2,777.134,783.461,6.327,osoba2
osoba2,787.843,790.892,3.049,osoba2
osoba2,796.614,801.326,4.712,osoba2
osoba2,810.248,810.613,0.365,osoba2
osoba2,813.234,813.467,0.233,osoba2
osoba2,815.772,815.989,0.217,osoba2
osoba2,826.855,827.599,0.744,osoba2
osoba2,856.173,857.619,1.446,osoba2
osoba2,882.131,883.098,0.967,osoba2
osoba2,895.713,901.091,5.378,osoba2
osoba2,902.712,908.608,5.896,osoba2
osoba2,909.786,913.376,3.59,osoba2
osoba2,924.299,924.903,0.604,osoba2
osoba2,929.953,930.196,0.243,osoba2
osoba2,946.343,947.672,1.329,osoba2
osoba2,948.919,949.67,0.751,osoba2
osoba2,955.796,956.922,1.126,osoba2
osoba3,28.561,29.416,0.855,osoba3
osoba3,39.25,45.016,5.766,osoba3
osoba3,51.669,52.268,0.599,osoba3
osoba3,76.019,81.306,5.287,osoba3
osoba3,82.395,82.555,0.16,osoba3
osoba3,86.669,86.85,0.181,osoba3
osoba3,90.322,90.653,0.331,osoba3
osoba3,98.79,111.766,12.976,osoba3
osoba3,128.687,130.242,1.555,osoba3
osoba3,135.901,143.805,7.904,osoba3
osoba3,166.124,178.049,11.925,osoba3
osoba3,186.377,186.601,0.224,osoba3
osoba3,206.677,212.603,5.926,osoba3
osoba3,223.47,224.111,0.641,osoba3
osoba3,244.406,244.586,0.18,osoba3
osoba3,249.221,249.353,0.132,osoba3
osoba3,254.463,275.344,20.881,osoba3
osoba3,282.152,284.862,2.71,osoba3
osoba3,288.837,289.785,0.948,osoba3
osoba3,294.134,294.853,0.719,osoba3
osoba3,297.326,303.801,6.475,osoba3
osoba3,305.078,309.594,4.516,osoba3
osoba3,310.726,314.057,3.331,osoba3
osoba3,315.092,319.262,4.17,osoba3
osoba3,320.523,350.601,30.078,osoba3
osoba3,351.96,371.981,20.021,osoba3
osoba3,388.573,390.827,2.254,osoba3
osoba3,392.28,410.777,18.497,osoba3
osoba3,416.947,418.141,1.194,osoba3
osoba3,420.842,421.186,0.344,osoba3
osoba3,435.235,441.118,5.883,osoba3
osoba3,455.864,456.045,0.181,osoba3
osoba3,460.572,461.012,0.44,osoba3
osoba3,467.783,471.702,3.919,osoba3
osoba3,475.106,475.591,0.485,osoba3
osoba3,484.747,492.075,7.328,osoba3
osoba3,493.194,522.332,29.138,osoba3
osoba3,523.762,531.663,7.901,osoba3
osoba3,533.34,533.793,0.453,osoba3
osoba3,535.076,536.589,1.513,osoba3
osoba3,545.103,545.679,0.576,osoba3
osoba3,548.587,552.527,3.94,osoba3
osoba3,557.566,558.852,1.286,osoba3
osoba3,569.342,583.016,13.674,osoba3
osoba3,586.985,592.422,5.437,osoba3
osoba3,593.878,595.406,1.528,osoba3
osoba3,597.429,611.177,13.748,osoba3
osoba3,614.937,619.834,4.897,osoba3
osoba3,622.453,622.774,0.321,osoba3
osoba3,628.873,631.337,2.464,osoba3
osoba3,632.483,647.285,14.802,osoba3
osoba3,652.918,653.061,0.143,osoba3
osoba3,659.121,661.964,2.843,osoba3
osoba3,673.647,682.576,8.929,osoba3
osoba3,690.466,690.652,0.186,osoba3
osoba3,704.633,704.9,0.267,osoba3
osoba3,706.955,707.703,0.748,osoba3
osoba3,733.137,734.004,0.867,osoba3
osoba3,742.536,743.033,0.497,osoba3
osoba3,745.844,750.24,4.396,osoba3
osoba3,752.302,754.069,1.767,osoba3
osoba3,756.047,756.913,0.866,osoba3
osoba3,763.52,764.177,0.657,osoba3
osoba3,776.213,778.018,1.805,osoba3
osoba3,782.72,782.986,0.266,osoba3
osoba3,784.243,787.923,3.68,osoba3
osoba3,790.797,794.473,3.676,osoba3
osoba3,801.906,803.789,1.883,osoba3
osoba3,805.557,806.272,0.715,osoba3
osoba3,807.76,815.005,7.245,osoba3
osoba3,818.793,819.195,0.402,osoba3
osoba3,822.555,822.973,0.418,osoba3
osoba3,824.946,825.1,0.154,osoba3
osoba3,826.807,829.208,2.401,osoba3
osoba3,834.569,839.593,5.024,osoba3
osoba3,842.737,851.967,9.23,osoba3
osoba3,853.498,855.912,2.414,osoba3
osoba3,857.309,859.76,2.451,osoba3
osoba3,861.161,871.617,10.456,osoba3
osoba3,879.28,881.856,2.576,osoba3
osoba3,883.607,884.657,1.05,osoba3
osoba3,887.964,889.353,1.389,osoba3
osoba3,892.081,892.768,0.687,osoba3
osoba3,893.77,895.589,1.819,osoba3
osoba3,897.741,898.184,0.443,osoba3
osoba3,900.051,904.397,4.346,osoba3
osoba3,906.938,909.477,2.539,osoba3
osoba3,913.118,917.97,4.852,osoba3
osoba3,921.038,921.617,0.579,osoba3
osoba3,923.268,924.325,1.057,osoba3
osoba3,930.381,930.656,0.275,osoba3
osoba3,933.612,934.965,1.353,osoba3
