Tier,Begin time [ss.ms],End time [ss.ms],Duration [ss.ms],content
osoba1,35.892,36.164,0.272,osoba1
osoba1,37.683,45.304,7.621,osoba1
osoba1,52.448,52.656,0.208,osoba1
osoba1,74.914,75.188,0.274,osoba1
osoba1,303.692,341.083,37.391,osoba1
osoba1,347.992,349.839,1.847,osoba1
osoba1,433.776,437.409,3.633,osoba1
osoba1,442.217,442.495,0.278,osoba1
osoba1,443.577,451.821,8.244,osoba1
osoba1,472.249,474.269,2.02,osoba1
osoba1,552.109,555.058,2.949,osoba1
osoba1,812.148,847.36,35.212,osoba1
osoba1,852.056,852.413,0.357,osoba1
osoba1,878.603,883.848,5.245,osoba1
osoba1,888.204,890.34,2.136,osoba1
osoba1,891.592,896.198,4.606,osoba1
osoba1,905.193,905.306,0.113,osoba1
osoba1,928.699,929.72,1.021,osoba1
osoba1,962.122,962.313,0.191,osoba1
osoba1,963.663,967.172,3.509,osoba1
osoba2,17.09,17.35,0.26,osoba2
osoba2,63.45,82.545,19.095,osoba2
osoba2,83.8,93.223,9.423,osoba2
osoba2,94.473,94.81,0.337,osoba2
osoba2,97.739,100.859,3.12,osoba2
osoba2,103.297,133.789,30.492,osoba2
osoba2,134.963,144.758,9.795,osoba2
osoba2,146.008,157.221,11.213,osoba2
osoba2,161.084,164.347,3.263,osoba2
osoba2,167.182,189.719,22.537,osoba2
osoba2,190.77,195.122,4.352,osoba2
osoba2,196.602,205.865,9.263,osoba2
osoba2,207.477,207.727,0.25,osoba2
osoba2,209.244,211.44,2.196,osoba2
osoba2,214.755,215.005,0.25,osoba2
osoba2,217.142,222.858,5.716,osoba2
osoba2,231.127,232.696,1.569,osoba2
osoba2,246.608,251.106,4.498,osoba2
osoba2,252.268,252.981,0.713,osoba2
osoba2,268.073,301.329,33.256,osoba2
osoba2,303.087,303.374,0.287,osoba2
osoba2,377.267,435.903,58.636,osoba2
osoba2,437.285,440.311,3.026,osoba2
osoba2,441.892,443.564,1.672,osoba2
osoba2,445.811,447.706,1.895,osoba2
osoba2,451.793,455.024,3.231,osoba2
osoba2,457.577,467.651,10.074,osoba2
osoba2,469.905,470.504,0.599,osoba2
osoba2,473.494,475.806,2.312,osoba2
osoba2,476.927,477.441,0.514,osoba2
osoba2,479.753,491.943,12.19,osoba2
osoba2,493.576,512.226,18.65,osoba2
osoba2,513.308,516.382,3.074,osoba2
osoba2,518.336,535.891,17.555,osoba2
osoba2,539.559,550.636,11.077,osoba2
osoba2,552.034,553.919,1.885,osoba2
osoba2,556.034,591.244,35.21,osoba2
osoba2,593.072,597.159,4.087,osoba2
osoba2,598.991,601.51,2.519,osoba2
osoba2,602.619,604.058,1.439,osoba2
