Tier,Begin time [ss.ms],End time [ss.ms],Duration [ss.ms],content
osoba1,22.423,22.703,0.28,osoba1
osoba1,39.694,40.922,1.228,osoba1
osoba1,112.822,113.776,0.954,osoba1
osoba1,148.474,149.477,1.003,osoba1
osoba1,187.257,189.351,2.094,osoba1
osoba1,190.872,191.572,0.7,osoba1
osoba1,192.581,194.301,1.72,osoba1
osoba1,195.376,198.557,3.181,osoba1
osoba1,206.536,206.646,0.11,osoba1
osoba1,208.397,209.444,1.047,osoba1
osoba1,222.163,223.676,1.513,osoba1
osoba1,256.074,258.033,1.959,osoba1
osoba1,307.449,307.614,0.165,osoba1
osoba1,317.907,320.215,2.308,osoba1
osoba1,321.848,322.819,0.971,osoba1
osoba1,337.562,340.322,2.76,osoba1
osoba1,350.634,353.705,3.071,osoba1
osoba1,354.94,361.754,6.814,osoba1
osoba1,367.957,369.107,1.15,osoba1
osoba1,371.632,374.406,2.774,osoba1
osoba1,379.373,379.638,0.265,osoba1
osoba1,389.018,391.914,2.896,osoba1
osoba1,393.04,397.177,4.137,osoba1
osoba1,398.771,404.408,5.637,osoba1
osoba1,405.742,407.686,1.944,osoba1
osoba1,408.873,410.549,1.676,osoba1
osoba1,412.389,413.28,0.891,osoba1
osoba1,415.477,416.942,1.465,osoba1
osoba1,431.27,432.425,1.155,osoba1
osoba1,434.085,434.996,0.911,osoba1
osoba1,437.411,442.636,5.225,osoba1
osoba1,466.569,467.324,0.755,osoba1
osoba1,482.422,482.795,0.373,osoba1
osoba1,518.255,525.919,7.664,osoba1
osoba1,526.953,535.694,8.741,osoba1
osoba1,553.666,553.767,0.101,osoba1
osoba1,558.204,561.611,3.407,osoba1
osoba1,562.689,564.272,1.583,osoba1
osoba1,566.45,567.133,0.683,osoba1
osoba1,570.119,570.228,0.109,osoba1
osoba1,577.083,577.224,0.141,osoba1
osoba1,580.288,580.966,0.678,osoba1
osoba1,584.72,585.411,0.691,osoba1
osoba1,591.679,593.488,1.809,osoba1
osoba1,617.668,643.923,26.255,osoba1
osoba1,647.403,652.176,4.773,osoba1
osoba1,654.583,670.487,15.904,osoba1
osoba1,671.875,679.447,7.572,osoba1
osoba1,680.72,689.328,8.608,osoba1
osoba1,690.476,691.898,1.422,osoba1
osoba1,694.856,694.995,0.139,osoba1
osoba1,697.311,700.388,3.077,osoba1
osoba1,702.363,705.766,3.403,osoba1
osoba1,721.415,721.519,0.104,osoba1
osoba1,724.354,724.663,0.309,osoba1
osoba1,741.919,745.46,3.541,osoba1
osoba1,843.674,844.481,0.807,osoba1
osoba1,846.742,847.698,0.956,osoba1
osoba1,852.736,852.931,0.195,osoba1
osoba1,854.291,855.857,1.566,osoba1
osoba1,879.811,880.983,1.172,osoba1
osoba2,33.228,34.853,1.625,osoba2
osoba2,36.508,37.212,0.704,osoba2
osoba2,42.602,43.212,0.61,osoba2
osoba2,48.083,50.287,2.204,osoba2
osoba2,51.311,65.705,14.394,osoba2
osoba2,90.902,97.267,6.365,osoba2
osoba2,98.421,107.267,8.846,osoba2
osoba2,108.451,109.133,0.682,osoba2
osoba2,110.262,113.252,2.99,osoba2
osoba2,114.687,120.37,5.683,osoba2
osoba2,121.835,125.268,3.433,osoba2
osoba2,127.515,129.738,2.223,osoba2
osoba2,131.497,132.136,0.639,osoba2
osoba2,134.752,135.294,0.542,osoba2
osoba2,137.631,139.807,2.176,osoba2
osoba2,140.901,142.455,1.554,osoba2
osoba2,144.267,146.874,2.607,osoba2
osoba2,147.912,148.265,0.353,osoba2
osoba2,151.827,160.038,8.211,osoba2
osoba2,167.863,168.414,0.551,osoba2
osoba2,169.452,173.469,4.017,osoba2
osoba2,175.516,180.245,4.729,osoba2
osoba2,182.708,183.477,0.769,osoba2
osoba2,185.1,187.816,2.716,osoba2
osoba2,190.68,191.243,0.563,osoba2
osoba2,199.713,220.326,20.613,osoba2
osoba2,221.776,222.878,1.102,osoba2
osoba2,224.016,225.185,1.169,osoba2
osoba2,226.35,234.678,8.328,osoba2
osoba2,236.027,237.595,1.568,osoba2
osoba2,238.888,239.756,0.868,osoba2
osoba2,242.931,243.224,0.293,osoba2
osoba2,244.727,250.287,5.56,osoba2
osoba2,253.885,254.015,0.13,osoba2
osoba2,256.254,256.36,0.106,osoba2
osoba2,260.558,265.201,4.643,osoba2
osoba2,267.079,269.797,2.718,osoba2
osoba2,279.152,279.39,0.238,osoba2
osoba2,280.622,286.453,5.831,osoba2
osoba2,290.705,290.973,0.268,osoba2
osoba2,295.49,295.593,0.103,osoba2
osoba2,299.237,299.379,0.142,osoba2
osoba2,301.148,302.771,1.623,osoba2
osoba2,304.952,305.083,0.131,osoba2
osoba2,306.374,306.7,0.326,osoba2
osoba2,310.069,310.822,0.753,osoba2
osoba2,314.249,316.728,2.479,osoba2
osoba2,321.194,321.442,0.248,osoba2
osoba2,323.92,325.333,1.413,osoba2
osoba2,327.207,335.555,8.348,osoba2
osoba2,337.532,337.692,0.16,osoba2
osoba2,340.211,341.487,1.276,osoba2
osoba2,342.623,346.464,3.841,osoba2
osoba2,347.722,349.732,2.01,osoba2
osoba2,362.894,366.864,3.97,osoba2
osoba2,370.336,370.466,0.13,osoba2
osoba2,379.748,386.273,6.525,osoba2
osoba2,388.779,389.545,0.766,osoba2
osoba2,398.215,398.868,0.653,osoba2
osoba2,412.021,412.315,0.294,osoba2
osoba2,415.149,430.623,15.474,osoba2
osoba2,433.853,434.292,0.439,osoba2
osoba2,437.179,437.377,0.198,osoba2
osoba2,444.998,445.418,0.42,osoba2
osoba2,447.734,448.046,0.312,osoba2
osoba2,456.405,478.633,22.228,osoba2
osoba2,479.681,484.296,4.615,osoba2
osoba2,486.948,503.153,16.205,osoba2
osoba2,504.283,512.019,7.736,osoba2
osoba2,514.465,516.581,2.116,osoba2
osoba2,517.864,518.272,0.408,osoba2
osoba2,536.231,536.392,0.161,osoba2
osoba2,538.58,552.767,14.187,osoba2
osoba2,553.783,556.9,3.117,osoba2
osoba2,558.272,558.54,0.268,osoba2
osoba2,562.42,562.721,0.301,osoba2
osoba2,565.978,566.699,0.721,osoba2
osoba2,569.486,570.111,0.625,osoba2
osoba2,579.07,579.807,0.737,osoba2
osoba2,581.086,581.862,0.776,osoba2
osoba2,597.388,607.079,9.691,osoba2
osoba2,608.602,616.645,8.043,osoba2
osoba2,617.707,617.971,0.264,osoba2
osoba2,645.293,646.314,1.021,osoba2
osoba2,647.593,647.821,0.228,osoba2
osoba2,662.41,663.938,1.528,osoba2
osoba2,686.81,687.721,0.911,osoba2
osoba2,690.508,691.135,0.627,osoba2
osoba2,692.959,695.15,2.191,osoba2
osoba2,696.162,697.56,1.398,osoba2
osoba2,702.566,702.75,0.184,osoba2
osoba2,706.9,707.329,0.429,osoba2
osoba2,710.04,716.063,6.023,osoba2
osoba2,717.69,717.955,0.265,osoba2
osoba2,719.087,723.373,4.286,osoba2
osoba2,727.108,727.552,0.444,osoba2
osoba2,740.548,740.656,0.108,osoba2
osoba2,742.141,742.73,0.589,osoba2
osoba2,748.004,748.374,0.37,osoba2
osoba2,758.79,759.567,0.777,osoba2
osoba2,761.912,763.501,1.589,osoba2
osoba2,765.544,766.941,1.397,osoba2
osoba2,768.061,770.529,2.468,osoba2
osoba2,771.803,772.511,0.708,osoba2
osoba2,798.171,798.304,0.133,osoba2
osoba2,799.965,802.481,2.516,osoba2
osoba2,803.768,809.365,5.597,osoba2
osoba2,812.172,813.103,0.931,osoba2
osoba2,816.029,816.184,0.155,osoba2
osoba2,821.562,821.923,0.361,osoba2
osoba2,824.491,833.414,8.923,osoba2
osoba2,836.519,836.641,0.122,osoba2
osoba2,843.131,843.445,0.314,osoba2
osoba2,858.586,859.683,1.097,osoba2
osoba2,862.697,863.082,0.385,osoba2
osoba2,872.775,873.124,0.349,osoba2
osoba2,888.502,888.856,0.354,osoba2
osoba2,890.56,914.921,24.361,osoba2
osoba2,917.842,918.084,0.242,osoba2
osoba2,923.02,923.804,0.784,osoba2
osoba2,925.105,925.886,0.781,osoba2
osoba2,946.424,946.7,0.276,osoba2
osoba2,947.97,956.378,8.408,osoba2
osoba2,957.425,970.318,12.893,osoba2
osoba2,974.073,974.724,0.651,osoba2
osoba2,986.525,986.786,0.261,osoba2
osoba2,987.866,988.355,0.489,osoba2
osoba2,999.346,1017.545,18.199,osoba2
osoba2,1021.225,1026.279,5.054,osoba2
osoba2,1027.614,1038.55,10.936,osoba2
osoba2,1043.274,1043.688,0.414,osoba2
osoba3,35.671,37.757,2.086,osoba3
osoba3,44.001,44.996,0.995,osoba3
osoba3,51.536,51.699,0.163,osoba3
osoba3,67.146,90.067,22.921,osoba3
osoba3,97.609,101.312,3.703,osoba3
osoba3,108.826,110.487,1.661,osoba3
osoba3,114.27,114.592,0.322,osoba3
osoba3,296.438,298.416,1.978,osoba3
osoba3,300.726,301.073,0.347,osoba3
osoba3,303.142,304.057,0.915,osoba3
osoba3,312.114,314.236,2.122,osoba3
osoba3,370.298,373.049,2.751,osoba3
osoba3,376.003,378.297,2.294,osoba3
osoba3,414.852,416.836,1.984,osoba3
osoba3,422.626,425.285,2.659,osoba3
osoba3,430.124,432.161,2.037,osoba3
osoba3,447.608,455.766,8.158,osoba3
osoba3,547.738,549.209,1.471,osoba3
osoba3,566.783,567.14,0.357,osoba3
osoba3,569.715,569.879,0.164,osoba3
osoba3,571.451,579.258,7.807,osoba3
osoba3,581.833,590.735,8.902,osoba3
osoba3,594.019,594.772,0.753,osoba3
osoba3,616.635,616.911,0.276,osoba3
osoba3,641.426,641.998,0.572,osoba3
osoba3,657.781,659.155,1.374,osoba3
osoba3,726.974,737.738,10.764,osoba3
osoba3,746.259,758.429,12.17,osoba3
osoba3,775.321,775.578,0.257,osoba3
osoba3,915.791,916.164,0.373,osoba3
osoba3,917.829,918.016,0.187,osoba3
osoba3,919.349,924.721,5.372,osoba3
osoba3,926.977,944.353,17.376,osoba3
osoba3,945.909,946.076,0.167,osoba3
osoba3,972.685,975.33,2.645,osoba3
osoba3,976.425,987.452,11.027,osoba3
osoba3,988.605,995.748,7.143,osoba3
osoba3,1017.171,1018.006,0.835,osoba3
osoba3,1024.967,1025.309,0.342,osoba3
osoba3,1026.846,1027.153,0.307,osoba3
osoba4,775.361,797.108,21.747,osoba4
osoba4,809.794,820.445,10.651,osoba4
osoba4,834.722,842.529,7.807,osoba4
osoba4,845.822,848.171,2.349,osoba4
osoba4,849.28,851.352,2.072,osoba4
osoba4,859.494,878.833,19.339,osoba4
osoba4,881.99,887.887,5.897,osoba4
osoba4,892.979,893.737,0.758,osoba4
osoba4,932.585,934.041,1.456,osoba4
osoba4,1017.422,1020.776,3.354,osoba4
osoba4,1025.423,1027.406,1.983,osoba4
osoba4,36.595,37.656,1.061,osoba4
osoba4,134.642,136.853,2.211,osoba4
osoba4,148.276,150.152,1.876,osoba4
osoba4,164.249,167.055,2.806,osoba4
osoba4,252.014,253.006,0.992,osoba4
osoba4,270.821,273.292,2.471,osoba4
osoba4,274.567,278.506,3.939,osoba4
osoba4,292.684,293.322,0.638,osoba4
eksperymentator,0,0.154,0.154,eksperymentator
eksperymentator,6.281,17.564,11.283,eksperymentator
eksperymentator,18.585,20.744,2.159,eksperymentator
eksperymentator,22.335,23.908,1.573,eksperymentator
eksperymentator,1043.215,1049.386,6.171,eksperymentator
