Tier,Begin time [ss.ms],End time [ss.ms],Duration [ss.ms],content
osoba1,47.542,48.407,0.865,osoba1
osoba1,79.068,79.223,0.155,osoba1
osoba1,86.274,89.47,3.196,osoba1
osoba1,97.363,102.645,5.282,osoba1
osoba1,112.723,115.961,3.238,osoba1
osoba1,117.488,120.441,2.953,osoba1
osoba1,121.552,122.091,0.539,osoba1
osoba1,140.822,141.231,0.409,osoba1
osoba1,188.934,195.786,6.852,osoba1
osoba1,202.413,203.11,0.697,osoba1
osoba1,246.248,253.725,7.477,osoba1
osoba1,254.83,256.063,1.233,osoba1
osoba1,261.927,270.99,9.063,osoba1
osoba1,277.701,281.372,3.671,osoba1
osoba1,283.332,283.954,0.622,osoba1
osoba1,285.118,289.173,4.055,osoba1
osoba1,291.485,306.015,14.53,osoba1
osoba1,312.326,313.654,1.328,osoba1
osoba1,316.528,316.683,0.155,osoba1
osoba1,321.304,323.34,2.036,osoba1
osoba1,327.369,329.374,2.005,osoba1
osoba1,333.071,333.245,0.174,osoba1
osoba1,348.362,349.247,0.885,osoba1
osoba1,353.747,356.874,3.127,osoba1
osoba1,371.229,372.567,1.338,osoba1
osoba1,376.26,376.641,0.381,osoba1
osoba1,378.265,378.457,0.192,osoba1
osoba1,389.381,392.088,2.707,osoba1
osoba1,393.971,398.986,5.015,osoba1
osoba1,416.24,417.716,1.476,osoba1
osoba1,420,420.267,0.267,osoba1
osoba1,432.022,436.566,4.544,osoba1
osoba1,440.891,449.846,8.955,osoba1
osoba1,453.086,453.198,0.112,osoba1
osoba1,462.897,463.698,0.801,osoba1
osoba1,464.751,466.182,1.431,osoba1
osoba1,470.381,473.591,3.21,osoba1
osoba1,474.706,477.964,3.258,osoba1
osoba1,480.57,481.236,0.666,osoba1
osoba1,488.214,496.934,8.72,osoba1
osoba1,498.286,508.933,10.647,osoba1
osoba1,512.317,514.415,2.098,osoba1
osoba1,517.928,518.192,0.264,osoba1
osoba1,521.885,523.45,1.565,osoba1
osoba1,527.361,531.11,3.749,osoba1
osoba1,535.084,539.635,4.551,osoba1
osoba1,554.71,554.94,0.23,osoba1
osoba1,556.222,557.183,0.961,osoba1
osoba1,563.247,570.081,6.834,osoba1
osoba1,575.078,578.213,3.135,osoba1
osoba1,583.182,589.29,6.108,osoba1
osoba1,614.28,621.587,7.307,osoba1
osoba1,626.486,633.887,7.401,osoba1
osoba1,638.369,641.543,3.174,osoba1
osoba1,649.572,649.927,0.355,osoba1
osoba1,660.705,663.612,2.907,osoba1
osoba1,667.76,669.64,1.88,osoba1
osoba1,692.248,692.989,0.741,osoba1
osoba1,696.071,696.271,0.2,osoba1
osoba1,701.328,708.633,7.305,osoba1
osoba1,718.99,719.173,0.183,osoba1
osoba1,728.872,731.043,2.171,osoba1
osoba1,732.25,732.39,0.14,osoba1
osoba1,741.49,742.633,1.143,osoba1
osoba1,756.058,756.682,0.624,osoba1
osoba1,763.525,764.103,0.578,osoba1
osoba1,779.725,780.729,1.004,osoba1
osoba1,785.95,792.467,6.517,osoba1
osoba1,803.072,804.899,1.827,osoba1
osoba1,810.782,823.539,12.757,osoba1
osoba1,824.69,825.968,1.278,osoba1
osoba1,834.045,835.173,1.128,osoba1
osoba1,844.675,845.715,1.04,osoba1
osoba1,851.872,852.093,0.221,osoba1
osoba1,862.6,864.989,2.389,osoba1
osoba1,877.711,877.828,0.117,osoba1
osoba1,883.582,889.835,6.253,osoba1
osoba1,892.961,894.721,1.76,osoba1
osoba1,899.02,899.135,0.115,osoba1
osoba1,910.661,912.306,1.645,osoba1
osoba1,917.367,919.015,1.648,osoba1
osoba1,933.542,934.79,1.248,osoba1
osoba1,936.264,948.547,12.283,osoba1
osoba1,958.224,959.764,1.54,osoba1
osoba1,961.985,962.137,0.152,osoba1
osoba1,968.786,969.491,0.705,osoba1
osoba1,971.116,971.778,0.662,osoba1
osoba1,976.062,976.905,0.843,osoba1
osoba1,980.88,981.15,0.27,osoba1
osoba2,27.106,30.59,3.484,osoba2
osoba2,31.838,33.144,1.306,osoba2
osoba2,36.513,39.948,3.435,osoba2
osoba2,44.959,45.134,0.175,osoba2
osoba2,47.579,47.78,0.201,osoba2
osoba2,53.842,59.005,5.163,osoba2
osoba2,63.103,63.682,0.579,osoba2
osoba2,65.952,69.541,3.589,osoba2
osoba2,71.061,75.76,4.699,osoba2
osoba2,80.371,82.575,2.204,osoba2
osoba2,83.757,84.596,0.839,osoba2
osoba2,90.878,91.123,0.245,osoba2
osoba2,97.319,97.73,0.411,osoba2
osoba2,103.644,105.009,1.365,osoba2
osoba2,106.556,109.039,2.483,osoba2
osoba2,112.659,113.04,0.381,osoba2
osoba2,115.717,116.931,1.214,osoba2
osoba2,123.062,124.031,0.969,osoba2
osoba2,125.748,126.351,0.603,osoba2
osoba2,128.554,130.563,2.009,osoba2
osoba2,133.725,136.379,2.654,osoba2
osoba2,151.106,152.907,1.801,osoba2
osoba2,160.708,162.16,1.452,osoba2
osoba2,169.026,173.999,4.973,osoba2
osoba2,178.459,181.528,3.069,osoba2
osoba2,182.934,185.972,3.038,osoba2
osoba2,202.529,203.041,0.512,osoba2
osoba2,204.451,204.605,0.154,osoba2
osoba2,207.818,216.681,8.863,osoba2
osoba2,220.647,221.166,0.519,osoba2
osoba2,225.825,226.397,0.572,osoba2
osoba2,238.045,238.916,0.871,osoba2
osoba2,243.222,243.343,0.121,osoba2
osoba2,308.531,309.062,0.531,osoba2
osoba2,334.362,338.297,3.935,osoba2
osoba2,350.091,350.838,0.747,osoba2
osoba2,353.624,354.297,0.673,osoba2
osoba2,371.171,372.266,1.095,osoba2
osoba2,381.168,384.415,3.247,osoba2
osoba2,400.033,410.264,10.231,osoba2
osoba2,411.282,415.052,3.77,osoba2
osoba2,418.775,426.935,8.16,osoba2
osoba2,428.082,428.791,0.709,osoba2
osoba2,429.959,430.549,0.59,osoba2
osoba2,437.155,439.025,1.87,osoba2
osoba2,452.099,452.223,0.124,osoba2
osoba2,460.294,461.002,0.708,osoba2
osoba2,474.6,474.942,0.342,osoba2
osoba2,480.785,480.928,0.143,osoba2
osoba2,485.211,488.529,3.318,osoba2
osoba2,490.04,490.425,0.385,osoba2
osoba2,493.274,493.511,0.237,osoba2
osoba2,509.405,511.48,2.075,osoba2
osoba2,514.144,515.052,0.908,osoba2
osoba2,518.88,519.19,0.31,osoba2
osoba2,524.538,524.727,0.189,osoba2
osoba2,526.159,526.541,0.382,osoba2
osoba2,531.999,534.063,2.064,osoba2
osoba2,538.555,540.886,2.331,osoba2
osoba2,542.817,546.716,3.899,osoba2
osoba2,570.748,570.955,0.207,osoba2
osoba2,598.443,598.833,0.39,osoba2
osoba2,607.765,607.927,0.162,osoba2
osoba2,612.532,613.277,0.745,osoba2
osoba2,636.394,636.642,0.248,osoba2
osoba2,664.384,665.483,1.099,osoba2
osoba2,715.459,716.735,1.276,osoba2
osoba2,719.005,720.303,1.298,osoba2
osoba2,721.521,721.96,0.439,osoba2
osoba2,793.535,803.358,9.823,osoba2
osoba2,804.604,808.187,3.583,osoba2
osoba2,810.253,811.353,1.1,osoba2
osoba2,824.763,825.076,0.313,osoba2
osoba2,827.593,828.536,0.943,osoba2
osoba2,844.36,844.599,0.239,osoba2
osoba2,847.248,847.514,0.266,osoba2
osoba2,857.677,860.75,3.073,osoba2
osoba2,865.521,866.712,1.191,osoba2
osoba2,889.167,890.645,1.478,osoba2
osoba2,910.524,913.514,2.99,osoba2
osoba2,921.408,921.997,0.589,osoba2
osoba2,927.844,928.447,0.603,osoba2
osoba2,935.694,936.266,0.572,osoba2
osoba2,938.886,940.565,1.679,osoba2
osoba2,961.096,962.761,1.665,osoba2
osoba3,29.954,30.419,0.465,osoba3
osoba3,32.898,34.722,1.824,osoba3
osoba3,38.995,39.273,0.278,osoba3
osoba3,40.374,43.841,3.467,osoba3
osoba3,49.394,53.231,3.837,osoba3
osoba3,57.9,58.939,1.039,osoba3
osoba3,89.726,95.135,5.409,osoba3
osoba3,138.285,150.402,12.117,osoba3
osoba3,156.579,158.323,1.744,osoba3
osoba3,178.431,179.058,0.627,osoba3
osoba3,198.926,201.03,2.104,osoba3
osoba3,202.466,202.626,0.16,osoba3
osoba3,329.777,331.083,1.306,osoba3
osoba3,453.317,469.009,15.692,osoba3
osoba3,474.573,475.1,0.527,osoba3
osoba3,480.496,485,4.504,osoba3
