Tier,Begin time [ss.ms],End time [ss.ms],Duration [ss.ms],content
osoba1,44.489,47.437,2.948,osoba1
osoba1,62.793,63.509,0.716,osoba1
osoba1,69.443,71.598,2.155,osoba1
osoba1,74.276,76.517,2.241,osoba1
osoba1,82.343,82.602,0.259,osoba1
osoba1,83.714,83.83,0.116,osoba1
osoba1,99.142,99.464,0.322,osoba1
osoba1,101.08,102.43,1.35,osoba1
osoba1,132.619,134.455,1.836,osoba1
osoba1,157.39,158.07,0.68,osoba1
osoba1,180.679,183.883,3.204,osoba1
osoba1,185.005,198.788,13.783,osoba1
osoba1,208.596,212.028,3.432,osoba1
osoba1,220.556,221.943,1.387,osoba1
osoba1,225.986,227.767,1.781,osoba1
osoba1,271.13,288.695,17.565,osoba1
osoba1,303.627,304.518,0.891,osoba1
osoba1,354.323,355.033,0.71,osoba1
osoba1,357.611,359.231,1.62,osoba1
osoba1,406.98,407.717,0.737,osoba1
osoba1,486.937,487.162,0.225,osoba1
osoba1,490.664,491.15,0.486,osoba1
osoba1,492.178,492.886,0.708,osoba1
osoba1,520.906,522.058,1.152,osoba1
osoba1,523.969,524.794,0.825,osoba1
osoba1,550.102,550.976,0.874,osoba1
osoba1,564.884,565.147,0.263,osoba1
osoba1,610.325,610.567,0.242,osoba1
osoba1,614.414,615.018,0.604,osoba1
osoba1,656.924,657.204,0.28,osoba1
osoba1,694.624,694.864,0.24,osoba1
osoba1,739.35,775.647,36.297,osoba1
osoba1,776.747,790.937,14.19,osoba1
osoba1,794.691,794.862,0.171,osoba1
osoba1,798.722,808.787,10.065,osoba1
osoba1,815.624,815.857,0.233,osoba1
osoba1,817.548,821.538,3.99,osoba1
osoba1,825.818,827.029,1.211,osoba1
osoba1,829.12,829.714,0.594,osoba1
osoba1,834.341,835.327,0.986,osoba1
osoba1,836.664,858.725,22.061,osoba1
osoba1,860.231,861.05,0.819,osoba1
osoba1,864.692,864.888,0.196,osoba1
osoba1,871.731,872.713,0.982,osoba1
